,Movie,Year,Genre,Rating,Url,Synopsis,Downloads
14,Shit & Champagne,2020,Comedy,6.1 / 10,https://yts.rs/movie/shit-champagne-2020," After her fiancé, Rod, and her half-sister, Brandy (the world renowned calf model) are both brutally murdered, Champagne Horowitz Jones Dickerson White (a divorcée and exotic dancer from the wrong side of the tracks) uses ""all the right moves"" to single-handedly take on the largest sex, drug and back-to-school clothing ring in the country. ",4444
15,Killing Eleanor,2020,ComedyDrama,7.9 / 10,https://yts.rs/movie/killing-eleanor-2020, A terminally ill old lady who wants to die on her own terms convinces a self destructive addict to help kill her in exchange for clean urine. ,3838
16,Dwellers,2021,Horror,2.9 / 10,https://yts.rs/movie/dwellers-2021," With his reputation on the line, filmmaker Drew Fortier must overcome his neurotic tendencies while adhering to an impossible deadline to complete a documentary focusing on the suspicious disappearances within a homeless community. As truths and conspiracies unfold, Drew uncovers more than he bargained for leading himself and his hapless crew into a maze-like sewer system where they are stalked by something not quite human. ",2525
17,On the Fringe of Wild,2021,DramaRomance,4.5 / 10,https://yts.rs/movie/on-the-fringe-of-wild-2021," Early 2000s. A small, northern Ontario town. Canada. Peter, a sensitive and shy teen, dreams of leaving his small northern Ontario town to pursue life as an artist, but his homophobic father intends to 'make him a man' instead. Forcing him on a hunting trip one cold winter break, tensions run high and Peter runs away. Lost, cold and reaching his breaking point, Peter meets Jack, who's also desperate to escape his toxic family situation. A romance quickly develops between the two teenage boys as they hide away in a secluded cabin, discovering each other and themselves. But the world outside eventually pulls them back and they're forced to face the circumstances they tried to flee, which will ultimately tear them apart. —S.C./E.C. ",5454
18,The Cleaner,2021,CrimeDrama,5 / 10,https://yts.rs/movie/the-cleaner-2021," Buck Enderly's life hasn't worked out the way he planned. He's a middle-aged house cleaner living with his mother, whom he must care for after she suffers a debilitating injury. When Buck takes on an eccentric new client, he gets roped into a side job locating her estranged son. With the help of his twenty-something neighbors, Buck tracks down the disturbed young man. But then in another twist of fate, he finds himself an accomplice to a violent crime. Now Buck must hide the truth from his family, including his younger brother - a local police officer. —Throughline Films ",6161
19,Aloha Surf Hotel,2020,ComedyDrama,6.9 / 10,https://yts.rs/movie/aloha-surf-hotel-2020," An ex-surf pro is forced to take a job at a beachfront hotel teaching obnoxious tourists how to surf. Soon he's the tennis pro, the yoga instructor, the handyman--he might even be the key to saving this family-run, Hawaiian-owned hotel. ",4444
20,Spirit Quest,2021,ActionComedy,0 / 10,https://yts.rs/movie/spirit-quest-2021," Two friends go on a hallucinogenic mushroom trip through the desert to face their fears, doubts, and failures. ",3636
21,Knifecorp,2021,Horror,4.5 / 10,https://yts.rs/movie/knifecorp-2021," High School senior, Wally Banks is selling knives door to door, and gets trapped in a man's house with a dark secret and must escape before it's too late. ",5252
22,Birdland,2018,CrimeMystery,3.4 / 10,https://yts.rs/movie/birdland-2018," An ex-cop whose marriage is on the rocks hides surveillance cameras in her home and watches her husband's transgressions, becoming a voyeur of her own life. ",2525
23,Maelstrom,2000,Drama,6.9 / 10,https://yts.rs/movie/maelstrom-2000," On the surface, twenty-five year old Bibiane Champagne has the perfect life. She is the daughter of the famed Flo Fabert. She co-owns a chain of boutiques in Quebec with her brother, Philippe. But Bibi's life is in shambles. She has just had an abortion. And the boutiques are failing because of her incompetence, which is the result of or has led to her substance abuse. It is also the result of the high expectations on her. Bibi's story is told by a fish awaiting decapitation on a butcher's block, the fish as narrator largely because of the singular and accidental encounter she has with fifty-three year old Norwegian fishmonger, Annstein Karlsen. That encounter leads to a further failed decision by Bibi and a meeting with Annstein's son, Evian Karlsen, who does not know the full extent of Bibi and his father's relationship. Bibi's time with Evian may provide some salvation to her crumbling life. —Huggo ",3030
24,The Great Gabbo,1929,DramaMusical,6.1 / 10,https://yts.rs/movie/the-great-gabbo-1929," For the ventriloquist Gabbo his wooden dummy Otto is the only means of expression. When he starts relying more and more on Otto, he starts going mad. —Stephan Eichenberg ",2929
25,Martha of the North,2009,Documentary,6.9 / 10,https://yts.rs/movie/martha-of-the-north-2009,  ,2626
26,Ninjas vs. Monsters,2012,ActionComedy,3.3 / 10,https://yts.rs/movie/ninjas-vs-monsters-2012," In this final installment, the Ninjas and their friends find themselves pitted against the most evil and memorable monsters of them all - Dracula, Frankenstein, the Mummy, the Werewolf, and MORE! Loaded with martial arts action, bloody horror, gun play, magic, comedy, pop-culture references, and a tightly woven twist-filled plot. —Daniel Ross ",2525
27,The Interrogation of Michael Crowe,2002,DramaThriller,6.9 / 10,https://yts.rs/movie/the-interrogation-of-michael-crowe-2002," The lives of Escondido, California residents Cheryl and Stephen Crowe change one morning when they find their twelve year old daughter Stephanie Crowe stabbed to death in her bedroom. As procedure dictates, the police take each member of the household away individually to be questioned, and the remaining children - fourteen year old Michael Crowe and adolescent Shannon Crowe - are taken into protective custody until Cheryl and Stephen can be cleared. The police end up placing much of their focus on the sullen Michael, who they question without counsel and without discussion with his parents. The tone of the police questioning is that they believe Michael did kill his sister, the police lying, harassing and coercing in the process. Under the barrage of questioning, Michael eventually confesses, as do two of his friends, both questioned under the same threatening tone. Cheryl and Stephen, who are finally made aware of the questioning and the confessions, enlist the help of sympathetic attorney, Dorothy Sorenson, to clear Michael and his friends while trying to find the real killer, who they believe is a transient named Richard Tuite. —Huggo ",4747
28,Lucy,2003,BiographyComedy,6.5 / 10,https://yts.rs/movie/lucy-2003," After her grandfather is financially ruined in a lawsuit over a shooting accident, Lucille 'Lucy' Ball pursues her dream of fame as actress. She succeeds in comical parts, often the girl who gets the cake in her face. Then she meets and soon marries the love of her life, Desiderio 'Desi' . Ricky, Latin band leader and aristocratic son of an exiled Cuban mayor. Desi proves a business genius, who gets a revolutionary method adopted to gain production control of the sitcom ""I Love Lucy"", a format devised for him and Lucy to star in. Despite offspring, their family life soon gets into stormy waters, mainly due to his infidelity, gambling and temper. —KGF Vissers ",3535
29,Da Xiao Jiang Hu,2010,Comedy,4 / 10,https://yts.rs/movie/da-xiao-jiang-hu-2010," In this irreverent martial arts farce, a bumbling cobbler trains to become a kung fu master after saving a beautiful princess in disguise. Together they will battle the evil Emperor for peace and justice. (Mandarin with English subtitles). ",2323
30,Surviving with Wolves,2007,Drama,6.7 / 10,https://yts.rs/movie/surviving-with-wolves-2007," In 1942, the young Jewish girl Misha, her Russian mother Gerusha and her German father Reuven hide from the Germans in a small house in Ardennes, Belgium. Misha is very connected to her mother that advises her that if one day a person comes to her saying ""love of my life"", she would follow him or her without any question. When her parents are captured by the Nazis, Misha is delivered to a German family and the abusive matriarch gives a bad treatment to the girl. However, she finds support in the family of Ernest and his deranged wife Marthe that supplies groceries to foster family. Misha loves Ernest's dogs and the old man gives a compass to her and tells that her parents have been sent to East to forced labor. When the old couple is denounced for sheltering the girl and arrested by the Germans, Misha flees through the woods heading east. Along her journey seeking out her parents, she lives and survives with pack of wolves and crosses Germany, Poland reaching Ukraine. When she sees that Brussels have been released by the allied force, she returns to her hometown and reaches it in March 1945 almost dead, sick and with lice and malnourished. However, Ernest identifies the girl that does not accept that her parents had died in the concentration camp of Sonnenburg. —Claudio Carvalho, Rio de Janeiro, Brazil ",2828
31,The Intruder,1956,Drama,5.7 / 10,https://yts.rs/movie/the-intruder-1956," A doctor saves a girl from suicide and marries her out of pity. Soon the evil man who had pushed her to the limit taking advantage of her re-enters her life. The ensuing crisis will help the newlyweds overcome their differences and start a fresh, better new life. —Salvatore Santangelo ",1919
32,All That Matters,2020,Drama,5.7 / 10,https://yts.rs/movie/all-that-matters-2020," All That Matters is about an insurance adjuster who wants to be a travel blogger. His conservative girlfriend wants him to keep his stable job. He meets a bohemian woman who supports his dreams. ""Jay"" has a decision to make: Live his dream or help someone else live theirs. —Alfred Robbins ",4444
33,Miss Leslie's Dolls,1973,CrimeDrama,5.4 / 10,https://yts.rs/movie/miss-leslies-dolls-1973, A young college professor and three of her students seek shelter during a storm in the rural farmhouse of a strange woman who collects lifelike mannequins. ,4343
34,The New Adventures of Aladdin,2015,Comedy,4.7 / 10,https://yts.rs/movie/the-new-adventures-of-aladdin-2015," A pair of losers working at department store plan to rob the place after it closes. When a bunch of kids show up begging for a story, the men launch into an improvised version of Aladdin. ",4141
35,Torment,1944,DramaRomance,7.3 / 10,https://yts.rs/movie/torment-1944," Jan-Erik Widgren is a high-school senior. His Latin teacher, Caligula, is feared by everybody, both teachers and students. Widgren falls in love with Berta, who works in a tobacco store. She tells him that she is harassed by a mean, sadistic man, but does not tell him that it is Caligula himself. —Mattias Thuresson ",2525
36,Lust Life Love,2021,DramaRomance,3.7 / 10,https://yts.rs/movie/lust-life-love-2021, A star-crossed love story set in the world of polyamory and sex parties in New York City. ,10807
37,Webcam Cheerleaders,2021,DramaThriller,5.4 / 10,https://yts.rs/movie/webcam-cheerleaders-2021," Maisy transfers to her late sister's college to find the truth behind her death, where she uncovers that many of the girls on the cheerleading squad are also webcam girls, but revealing the truth may have deadly consequences. ",6868
38,Moving On,2019,Drama,6.8 / 10,https://yts.rs/movie/moving-on-2019," Two kids are moving to their grandfather's house, but everything is going to change when the aunt moves there too. ",2828
39,The Taste of Violence,1961,Western,7.2 / 10,https://yts.rs/movie/the-taste-of-violence-1961," ""This European ""western"" by Robert Hossein (scripter, director, and lead) is set in an unnamed Latin American country suffering under a dictator. A revolution is underway, or at least there is a strong guerrilla movement here. The leader of the guerrillas manages to capture the daughter of the dictator, and then, has to take her as a captive back to the revolutionary forces' base. Along the way... ",2222
40,Garage Sale Mysteries Murder in D Minor,2018,CrimeMystery,7.2 / 10,https://yts.rs/movie/garage-sale-mysteries-murder-in-d-minor-2018, Jennifer wins the bid on a vintage self-playing piano at an estate auction. The piano was owned by the late Karl Dietz and Jennifer discovers that this wealthy philanthropist has a dark history. ,5252
41,The Shadow Side,2020,Horror,5.8 / 10,https://yts.rs/movie/the-shadow-side-2020," In the midst of 2020's global isolation, a girl from Buenos Aires begins to experience supernatural events that will lead her to the limit. ",2626
42,Killer Cheer Mom,2021,DramaThriller,5.1 / 10,https://yts.rs/movie/killer-cheer-mom-2021," Riley, who is new in town, tries out for the cheer squad, but as her changes get better, she notices some cheerleaders are suspiciously expelled or injured, and she wonders if her stepmom is doing whatever it takes to get her on the team. ",8585
43,Dard Divorce,2007,DramaHorror,3.7 / 10,https://yts.rs/movie/dard-divorce-2007," Natalie Stein, a successful lawyer, emigrated with her parents from Germany to the USA at a very young age. The last things that stand between her and a happy life with her daughter and son, are the divorce settlement with her lowlife husband Tim and a nasty drinking habit. But a lot more is about to happen that she didn't bargain for when her dog goes missing and her mortally wounded husband appears on the doorstep, informing her that the children have been kidnapped. By the time the police arrives at her house, Tim's body has mysteriously vanished. When not much later one million dollars, a bag of cocaine and some gangsters enter the game, Natalie finds herself in less than no time tied to a chair in her own kitchen. Let the torture begin... —Vomitron_G ",6060
44,Monty and the Street Party,2019,AnimationComedy,4.9 / 10,https://yts.rs/movie/monty-and-the-street-party-2019, A boy named Morgens (better known as Mugge) lives a happy life but everything changes when he's parents get divorced. He thinks the annual street party can save their family but can it really? ,2525
45,The Edge,1968,Drama,6.5 / 10,https://yts.rs/movie/the-edge-1968," ""A troubled antiwar activist plans to assassinate the President of the United States. His resolve forces others in a fragmented and disillusioned group of political allies to face the threat of government counterintelligence and the temptations of middle-age security, and to reexamine their commitment to radical action."" —Laurence Kardish, Museum of Modern Art ",2424
46,Eva,1948,Drama,6.4 / 10,https://yts.rs/movie/eva-1948," During WW2 in neutral Sweden, young sailor Bo, son of a railway stationmaster, comes home from the Navy and reminisces a childhood accident. At age twelve, he ran away in a steam locomotive together with a blind 10-year-old girl. The engine derailed, and the little girl got killed. Feelings of guilt haunt Bo even in his courtship with Eva, a beautiful local girl. In Stockholm, Bo sees a nightmare about plotting to kill his roommate Göran together with Göran's flirtatious girlfriend Susanne. In a third act, Eva and Bo are married and living on a remote island off Stockholm. When it's time to give birth, Bo has to row the stormy seas and fears again that he will cause another death. —Markku Kuoppamäki ",1717
47,Savage Harbor,1987,ActionDrama,4.5 / 10,https://yts.rs/movie/savage-harbor-1987," While in town on shore leave, Joe meets, falls in love with and proposes to Anne, a beautiful woman he rescues from an attacker. Anne, however, has a past: she's a prostitute and a former heroin addict on the run from her well-connected pimp, Harry. With the help of his friend Chris, Joe must make sure Harry can never threaten Anne again. —Jean-Marc Rocher ",2424
48,The Story of a Three-Day Pass,1967,DramaRomance,7.2 / 10,https://yts.rs/movie/the-story-of-a-three-day-pass-1967," A tale of innocence abroad, with racial overtones. Turner is a Black American, stationed at an air base in France. His captain thinks Turner's a good Negro, obedient, cheerful, and frightened, so he gives him a promotion and a three-day pass. On the first night, at a club, he meets Miriam, a White Parisian shop clerk. They dance, talk, and fantasize about each other. He's amazed when she agrees to spend the weekend with him at a Normandy beach hotel; in fact, he guesses she's a prostitute. She's not, they go; it's off season, they have their pick of rooms, and romance ensues. Then, racial misunderstanding and real prejudice complicate the weekend and its aftermath. — ",1818
49,Prison,1949,Drama,6.8 / 10,https://yts.rs/movie/prison-1949," A movie director is approached by his old math teacher with a great movie idea: the Devil declares that the Earth is hell. The director rejects the idea, but subsequent events in the life of a writer, a friend of the director's, and a young prostitute he loves seem to prove the math teacher's idea. —Erik Gregersen ",1919
50,Original Cast Album: Company,1970,Documentary,8.1 / 10,https://yts.rs/movie/original-cast-album-company-1970," Stephen Sondheim's musical ""Company"" opened on Broadway in the Spring of 1970, and tradition dictates that the cast recording is done on the first Sunday after opening night. D.A. Pennebaker, the now-legendary documentarian, filmed the production of the original cast recording, the back and forth between Sondheim and the performers, and the dynamic of trying to record live performance. The film climaxes with Elaine Stritch's performance of ""The Ladies Who Lunch"". The show won 6 Tony Awards including ""Best Musical"" and ran for two years on Broadway. —Martin Lewison ",2929
51,A Very Curious Girl,1969,ComedyDrama,6.9 / 10,https://yts.rs/movie/a-very-curious-girl-1969, An oppressed and exploited young woman (Marie) begins charging for her sexual favors and completely disrupts the smug patriarchal capitalist society of the village of Tellier. —English Showalter ,2828
52,Fixed,2017,Comedy,4.3 / 10,https://yts.rs/movie/fixed-2017," Allan is a married father of three whose sex life takes another hit when his wife can no longer take the pill. He soon finds himself with an appointment for a vasectomy and a nagging identity crisis. Although he is by all reasonable accounts a good, responsible man, the thought of getting ""fixed"" drives him to lose himself to an action-packed midlife crisis along with his best friends. Allan will refuse to grow up anymore. ",2525
53,Wastelander,2018,ActionAdventure,2.6 / 10,https://yts.rs/movie/wastelander-2018, Nothing Can Save Humanity From Itself ,3939
54,Six Gun Savior,2016,ActionAdventure,3.2 / 10,https://yts.rs/movie/six-gun-savior-2016," When Lane McCrae confronts the outlaw that murdered his family, the battle leaves him fatally wounded. He is visited by the Devil, who offers him a deal that would save the lives of both he and his brother, but instead makes him a bounty hunter for Hell replacing his predecessor. When Zathera, the embodiment of death, walks the earth, it's up to Lane, Hawk and their team, to stop her before she wipes out humanity. They are not the only ones hunting Zathera though - there are others who want to reach Zathera first, for plans of their own! —Frank Zanca ",3434
55,Rocketman,2019,AdventureComedy,6.4 / 10,https://yts.rs/movie/rocketman-2-2019, A crew of dreamers work through trials and tribulations attempting to launch Michael 'Mad Mike' Hughes in a homemade rocket on a mission to prove that the Earth is flat. ,6565
56,American Illuminati,2017,DocumentaryFantasy,3 / 10,https://yts.rs/movie/american-illuminati-2017," This is the real history of America as you've never known it. The shocking truth of how America was engineered and controlled by a secret organization that has infiltrated religious groups, political parties, universities and corporations. Strategically placing their own people in positions of power and authority, they have controlled and manipulated the minds of the masses while concealing it from the very beginning. Explore how the Illuminati invaded and took control of the United States of America with the ultimate goal of a one-world government. ",5050
57,Obsessions,1969,Drama,5.6 / 10,https://yts.rs/movie/obsessions-1969," A painting falls off the wall in a rented room. The tenant, Nils, a doctorate student in medicine, looks through the little hole in the wall to what happens in his neighbors room. What he sees makes him forget his textbooks quickly. It's not just the sex that generates his curiosity; Soon he witnesses events that point towards a crime. As he becomes more and more entangled in the web of mystery, his fiancé, Marina, a young journalist, receives an assignment to report a murder case. ",2828
58,Once Upon a Time in Deadwood,2019,Western,2.8 / 10,https://yts.rs/movie/once-upon-a-time-in-deadwood-2019," A notorious gunslinger is slipped a slow-acting poison by an heiress and told he has three days to track down and rescue her sister, who has been kidnapped by a gang of hoodlums and holds the antidote. ",4646
59,Enemy Empire,2013,AdventureFantasy,3.1 / 10,https://yts.rs/movie/enemy-empire-2013," Sol, a charming fugitive with a robotic arm, crashes through a vast desert empire filled with deadly larger-than-life enemies on his quest for revenge. His only chance of survival is with the help of an uncooperative nomadic woman. This ultra-micro budget guerrilla-style movie is an upbeat post-apocalyptic comedy adventure. —Anonymous ",1616
60,The Weirdo,1989,DramaHorror,4.6 / 10,https://yts.rs/movie/the-weirdo-1989," Donnie Raymond is a typical weirdo; a mildly autistic, shed-dwelling loner living in Los Angeles who is looked after by a kindly elderly woman named Miss Martins, who is his adopted mother. Lisa, Miss Martin's niece, comes to visit and is told to stay away from Donnie, who begins doing volunteer work at a local church where he meets an equally troubled teenage girl named Jenny, who becomes smitten with him and the two start a tentative romance. For the first time in his life, Donnie thinks that he has a purpose and is happy, but this is very short-lived. After years of torment and torture by his estranged mother, three neighborhood punks and their girlfriend, rejection and attempted eviction from the shed by Miss Martins, and scolding by the neighborhood cleric Reverend Cummings and the reverend's wife, the young Donnie snaps and takes out his frustration with society in particularly violent ways. —Larry B. ",3737
61,All the Colors of Giallo,2019,DocumentaryHorror,6.6 / 10,https://yts.rs/movie/all-the-colors-of-giallo-2019, A celebration of the genre with interviews by many contributors - a gialli filmmakers. ,2121
62,Killer Christmas,2017,Horror,3.1 / 10,https://yts.rs/movie/killer-christmas-2017, A slow-burn suspense Christmas horror where six friends explore an abandoned hotel near a Christmas tree lot only to find themselves being murdered one-by-one by someone in a Santa mask. ,2424
63,The Unbidden,2016,HorrorMystery,2.8 / 10,https://yts.rs/movie/the-unbidden-2016, The Unbidden is a thriller about four women confronted by a mysterious young man who knows a dark secret from their past. ,1414
64,Cherrypicker,2021,ComedyHorror,4.8 / 10,https://yts.rs/movie/cherrypicker-2021, Four adorable little girls plot to murder a hockey player after they mistake an act of lovemaking as an attack on their mom. ,4444
65,Tie the Knot,2016,ComedyDrama,3.4 / 10,https://yts.rs/movie/tie-the-knot-2016, The hysterical cross cultural journey of hearts. ,2828
66,United We Fall,2014,Comedy,4.1 / 10,https://yts.rs/movie/united-we-fall-2014, A mockumentary about five arrogant overpaid homophobic racist ex-Manchester United players who had the chance to become heroes in 2010 - and failed spectacularly. ,3030
67,According to Ben Adams,2016,Drama,8.4 / 10,https://yts.rs/movie/according-to-ben-adams-2016," The Devil is so bored. Evil's still his thing, but it's all been done. So he gets himself arrested just to see what happens. He even lets slip that he's the Devil and plays along when they commit him to a hospital. That's where he meets a man claiming to be Jesus. —Anonymous ",3535
68,Empress of the Evil Dead,2012,ActionFantasy,3.2 / 10,https://yts.rs/movie/empress-of-the-evil-dead-2012," The revelry of an upscale Halloween party is shattered by gunshots when two armed robbers attempt to fleece the well-to-do patrons of their money and jewels. A diminutive cloaked figure steps out from the crowd and despite being shot multiple times, effortlessly dispenses with the thieves. These superhuman feats do not go unnoticed and when news of them reaches the Secretary of Defense, Arthur Hayes (Tom Cochran), he dispatches FBI Agent Dan Higgins (Beau Nelson) to track the figure down. Higgin's quest turns ominous when he discovers he is attempting to track down a vampire, but not just any vampire - the Empress Vampire (Ange Maya), the source from which all other vampires descended! Higgins then enlists the aid of Ivor Helsing, a vampire hunter (Garrett Brawith), and Ariana , a psychic, who are also intent on tracking the Empress down. The Empress Vampire is no ordinary vampire. She craves more than mere blood. She is carnal as well as carnivorous and sexually exhausts her prey before satisfying her need for their blood. As she kills, the Empress savagely mutilates her victims and toys with their entrails. But is she the evil one, or is she being sought by a more malevolent force? Not for the squeamish or easily-offended. Empress Vampire is a journey into darkness - the darkness of ancient evil, the darkness of human greed, and the darkness of the perversion of the Empress Vampire. —Phil Condit ",4444
69,The Ghosts of Borley Rectory,2021,DramaHorror,6.1 / 10,https://yts.rs/movie/the-ghosts-of-borley-rectory-2021, Harry Price investigates the ghosts of Borley Rectory during his stay there. ,6969
70,I'm Your Man,2021,ComedyRomance,7.2 / 10,https://yts.rs/movie/im-your-man-2021," In order to obtain research funds for her studies, a scientist accepts an offer to participate in an extraordinary experiment: for three weeks, she is to live with a humanoid robot, created to make her happy. ",6969
71,High on the Hog,2019,ActionCrime,3.5 / 10,https://yts.rs/movie/high-on-the-hog-2019," Big Daddy's farm-grown weed is the best in North America... which is why federal Agent Dick will stop at nothing to put Big Daddy and his adopted family - Laura, Lola, and Lenore - out of business. With this trio of lovely ladies, his trusted mute farmhand Jimmy, and the good folks of the small town he calls home, Big Daddy will fight to the end - to protect the land and the people he loves. —mrliteral ",5050
72,O.S.S.,1946,DramaWar,6.7 / 10,https://yts.rs/movie/o-s-s-1946," John Martin is part of an American spy team dropped into France during World War II to destroy the French railway system. After successfully blowing up a tunnel he runs back to save Ellen and is told ""Never come back for me again."" Later he must choose whether or not to obey her wishes. —Ed Stephan ",3434
73,Cabaret Maxime,2018,Drama,6.1 / 10,https://yts.rs/movie/cabaret-maxime-2018, A cabaret owner tries to keep his club from being taken over by the powers that be. ,3636
74,You Laugh But It's True,2011,BiographyComedy,7.2 / 10,https://yts.rs/movie/you-laugh-but-its-true-2011," In the world of stand-up comedy in South Africa, Trevor Noah uses his childhood experiences in a biracial family during apartheid to prepare for his first one-man show. ",6464
75,Bear-Like,2019,Documentary,7.6 / 10,https://yts.rs/movie/bear-like-2019," At the far end of the Alaskan peninsula, for filmmaker Roman Droux a childhood dream comes true. Together with the researcher David Bittner he discovers the universe of wild grizzlies at smelling-distance. ",2929
76,Demigod,2021,Horror,0 / 10,https://yts.rs/movie/demigod-2021," Upon the death of her grandfather, a woman and her husband return to her birthplace in Germany's Black Forest, only to find a terrifying secret awaits them. ",5151
